"Label","Score","Symbol","TF","Strategy","RunId","Reason"
"bb-squeeze/USDCHF/H1",,"USDCHF","H1","bb-squeeze","c1a5e068","trades=6 below floor 20 (D3)"
"ema-alignment/USDCHF/H1",,"USDCHF","H1","ema-alignment","c1a5e068","trades=1 below floor 20 (D3)"
"macd-momentum/USDCHF/H1",,"USDCHF","H1","macd-momentum","c1a5e068","trades=2 below floor 20 (D3)"
"mean-reversion/USDCHF/H1",,"USDCHF","H1","mean-reversion","c1a5e068","trades=0 below floor 20 (D3)"
"mtf-trend/USDCHF/H1",,"USDCHF","H1","mtf-trend","c1a5e068","trades=4 below floor 20 (D3)"
"rsi-divergence/USDCHF/H1",,"USDCHF","H1","rsi-divergence","c1a5e068","trades=6 below floor 20 (D3)"
"session-breakout/USDCHF/H1",,"USDCHF","H1","session-breakout","c1a5e068","trades=7 below floor 20 (D3)"
"super-trend/USDCHF/H1",,"USDCHF","H1","super-trend","c1a5e068","trades=2 below floor 20 (D3)"
"trend-breakout/USDCHF/H1",,"USDCHF","H1","trend-breakout","c1a5e068","trades=8 below floor 20 (D3)"
"bb-squeeze/AUDUSD/H1",,"AUDUSD","H1","bb-squeeze","2dd4d22b","trades=12 below floor 20 (D3)"
"ema-alignment/AUDUSD/H1",,"AUDUSD","H1","ema-alignment","2dd4d22b","trades=0 below floor 20 (D3)"
"macd-momentum/AUDUSD/H1",,"AUDUSD","H1","macd-momentum","2dd4d22b","trades=2 below floor 20 (D3)"
"mean-reversion/AUDUSD/H1",,"AUDUSD","H1","mean-reversion","2dd4d22b","trades=0 below floor 20 (D3)"
"mtf-trend/AUDUSD/H1",,"AUDUSD","H1","mtf-trend","2dd4d22b","trades=3 below floor 20 (D3)"
"rsi-divergence/AUDUSD/H1",,"AUDUSD","H1","rsi-divergence","2dd4d22b","trades=8 below floor 20 (D3)"
"session-breakout/AUDUSD/H1",,"AUDUSD","H1","session-breakout","2dd4d22b","trades=5 below floor 20 (D3)"
"super-trend/AUDUSD/H1",,"AUDUSD","H1","super-trend","2dd4d22b","trades=3 below floor 20 (D3)"
"trend-breakout/AUDUSD/H1",,"AUDUSD","H1","trend-breakout","2dd4d22b","trades=13 below floor 20 (D3)"
"bb-squeeze/USDCAD/H1",,"USDCAD","H1","bb-squeeze","fac294c4","trades=2 below floor 20 (D3)"
"ema-alignment/USDCAD/H1",,"USDCAD","H1","ema-alignment","fac294c4","trades=0 below floor 20 (D3)"
"macd-momentum/USDCAD/H1",,"USDCAD","H1","macd-momentum","fac294c4","trades=0 below floor 20 (D3)"
"mean-reversion/USDCAD/H1",,"USDCAD","H1","mean-reversion","fac294c4","trades=0 below floor 20 (D3)"
"mtf-trend/USDCAD/H1",,"USDCAD","H1","mtf-trend","fac294c4","trades=0 below floor 20 (D3)"
"rsi-divergence/USDCAD/H1",,"USDCAD","H1","rsi-divergence","fac294c4","trades=0 below floor 20 (D3)"
"session-breakout/USDCAD/H1",,"USDCAD","H1","session-breakout","fac294c4","trades=4 below floor 20 (D3)"
"super-trend/USDCAD/H1",,"USDCAD","H1","super-trend","fac294c4","trades=0 below floor 20 (D3)"
"trend-breakout/USDCAD/H1",,"USDCAD","H1","trend-breakout","fac294c4","trades=3 below floor 20 (D3)"
"bb-squeeze/NZDUSD/H1",,"NZDUSD","H1","bb-squeeze","96cab36f","trades=13 below floor 20 (D3)"
"ema-alignment/NZDUSD/H1",,"NZDUSD","H1","ema-alignment","96cab36f","trades=2 below floor 20 (D3)"
"macd-momentum/NZDUSD/H1",,"NZDUSD","H1","macd-momentum","96cab36f","trades=5 below floor 20 (D3)"
"mean-reversion/NZDUSD/H1",,"NZDUSD","H1","mean-reversion","96cab36f","trades=0 below floor 20 (D3)"
"mtf-trend/NZDUSD/H1",,"NZDUSD","H1","mtf-trend","96cab36f","trades=3 below floor 20 (D3)"
"rsi-divergence/NZDUSD/H1",,"NZDUSD","H1","rsi-divergence","96cab36f","trades=8 below floor 20 (D3)"
"session-breakout/NZDUSD/H1",,"NZDUSD","H1","session-breakout","96cab36f","trades=7 below floor 20 (D3)"
"super-trend/NZDUSD/H1",,"NZDUSD","H1","super-trend","96cab36f","trades=3 below floor 20 (D3)"
"trend-breakout/NZDUSD/H1","47.1","NZDUSD","H1","trend-breakout","96cab36f",
"bb-squeeze/EURGBP/H1",,"EURGBP","H1","bb-squeeze","a7648a5d","trades=3 below floor 20 (D3)"
"ema-alignment/EURGBP/H1",,"EURGBP","H1","ema-alignment","a7648a5d","trades=0 below floor 20 (D3)"
"macd-momentum/EURGBP/H1",,"EURGBP","H1","macd-momentum","a7648a5d","trades=0 below floor 20 (D3)"
"mean-reversion/EURGBP/H1",,"EURGBP","H1","mean-reversion","a7648a5d","trades=0 below floor 20 (D3)"
"mtf-trend/EURGBP/H1",,"EURGBP","H1","mtf-trend","a7648a5d","trades=0 below floor 20 (D3)"
"rsi-divergence/EURGBP/H1",,"EURGBP","H1","rsi-divergence","a7648a5d","trades=1 below floor 20 (D3)"
"session-breakout/EURGBP/H1",,"EURGBP","H1","session-breakout","a7648a5d","trades=3 below floor 20 (D3)"
"super-trend/EURGBP/H1",,"EURGBP","H1","super-trend","a7648a5d","trades=0 below floor 20 (D3)"
"trend-breakout/EURGBP/H1",,"EURGBP","H1","trend-breakout","a7648a5d","trades=3 below floor 20 (D3)"
"bb-squeeze/EURJPY/H1",,"EURJPY","H1","bb-squeeze","bd089090","trades=3 below floor 20 (D3)"
"ema-alignment/EURJPY/H1",,"EURJPY","H1","ema-alignment","bd089090","trades=0 below floor 20 (D3)"
"macd-momentum/EURJPY/H1",,"EURJPY","H1","macd-momentum","bd089090","trades=0 below floor 20 (D3)"
"mean-reversion/EURJPY/H1",,"EURJPY","H1","mean-reversion","bd089090","trades=0 below floor 20 (D3)"
"mtf-trend/EURJPY/H1",,"EURJPY","H1","mtf-trend","bd089090","trades=0 below floor 20 (D3)"
"rsi-divergence/EURJPY/H1",,"EURJPY","H1","rsi-divergence","bd089090","trades=1 below floor 20 (D3)"
"session-breakout/EURJPY/H1",,"EURJPY","H1","session-breakout","bd089090","trades=4 below floor 20 (D3)"
"super-trend/EURJPY/H1",,"EURJPY","H1","super-trend","bd089090","trades=1 below floor 20 (D3)"
"trend-breakout/EURJPY/H1",,"EURJPY","H1","trend-breakout","bd089090","trades=4 below floor 20 (D3)"
"bb-squeeze/GBPJPY/H1",,"GBPJPY","H1","bb-squeeze","615a6c58","trades=1 below floor 20 (D3)"
"ema-alignment/GBPJPY/H1",,"GBPJPY","H1","ema-alignment","615a6c58","trades=1 below floor 20 (D3)"
"macd-momentum/GBPJPY/H1",,"GBPJPY","H1","macd-momentum","615a6c58","trades=0 below floor 20 (D3)"
"mean-reversion/GBPJPY/H1",,"GBPJPY","H1","mean-reversion","615a6c58","trades=0 below floor 20 (D3)"
"mtf-trend/GBPJPY/H1",,"GBPJPY","H1","mtf-trend","615a6c58","trades=0 below floor 20 (D3)"
"rsi-divergence/GBPJPY/H1",,"GBPJPY","H1","rsi-divergence","615a6c58","trades=3 below floor 20 (D3)"
"session-breakout/GBPJPY/H1",,"GBPJPY","H1","session-breakout","615a6c58","trades=2 below floor 20 (D3)"
"super-trend/GBPJPY/H1",,"GBPJPY","H1","super-trend","615a6c58","trades=0 below floor 20 (D3)"
"trend-breakout/GBPJPY/H1",,"GBPJPY","H1","trend-breakout","615a6c58","trades=4 below floor 20 (D3)"
"bb-squeeze/XAUUSD/H1",,"XAUUSD","H1","bb-squeeze","c283dcb1","trades=5 below floor 20 (D3)"
"ema-alignment/XAUUSD/H1",,"XAUUSD","H1","ema-alignment","c283dcb1","trades=0 below floor 20 (D3)"
"macd-momentum/XAUUSD/H1",,"XAUUSD","H1","macd-momentum","c283dcb1","trades=0 below floor 20 (D3)"
"mean-reversion/XAUUSD/H1",,"XAUUSD","H1","mean-reversion","c283dcb1","trades=1 below floor 20 (D3)"
"mtf-trend/XAUUSD/H1",,"XAUUSD","H1","mtf-trend","c283dcb1","trades=0 below floor 20 (D3)"
"rsi-divergence/XAUUSD/H1",,"XAUUSD","H1","rsi-divergence","c283dcb1","trades=1 below floor 20 (D3)"
"session-breakout/XAUUSD/H1",,"XAUUSD","H1","session-breakout","c283dcb1","trades=3 below floor 20 (D3)"
"super-trend/XAUUSD/H1",,"XAUUSD","H1","super-trend","c283dcb1","trades=2 below floor 20 (D3)"
"trend-breakout/XAUUSD/H1",,"XAUUSD","H1","trend-breakout","c283dcb1","trades=6 below floor 20 (D3)"
"bb-squeeze/XAGUSD/H1",,"XAGUSD","H1","bb-squeeze","36637415","trades=5 below floor 20 (D3)"
"ema-alignment/XAGUSD/H1",,"XAGUSD","H1","ema-alignment","36637415","trades=1 below floor 20 (D3)"
"macd-momentum/XAGUSD/H1",,"XAGUSD","H1","macd-momentum","36637415","trades=0 below floor 20 (D3)"
"mean-reversion/XAGUSD/H1",,"XAGUSD","H1","mean-reversion","36637415","trades=0 below floor 20 (D3)"
"mtf-trend/XAGUSD/H1",,"XAGUSD","H1","mtf-trend","36637415","trades=0 below floor 20 (D3)"
"rsi-divergence/XAGUSD/H1",,"XAGUSD","H1","rsi-divergence","36637415","trades=0 below floor 20 (D3)"
"session-breakout/XAGUSD/H1",,"XAGUSD","H1","session-breakout","36637415","trades=7 below floor 20 (D3)"
"super-trend/XAGUSD/H1",,"XAGUSD","H1","super-trend","36637415","trades=1 below floor 20 (D3)"
"trend-breakout/XAGUSD/H1",,"XAGUSD","H1","trend-breakout","36637415","trades=8 below floor 20 (D3)"
"bb-squeeze/BTCUSD/H1",,"BTCUSD","H1","bb-squeeze","9659fccb","trades=2 below floor 20 (D3)"
"ema-alignment/BTCUSD/H1",,"BTCUSD","H1","ema-alignment","9659fccb","trades=0 below floor 20 (D3)"
"macd-momentum/BTCUSD/H1",,"BTCUSD","H1","macd-momentum","9659fccb","trades=0 below floor 20 (D3)"
"mean-reversion/BTCUSD/H1",,"BTCUSD","H1","mean-reversion","9659fccb","trades=0 below floor 20 (D3)"
"mtf-trend/BTCUSD/H1",,"BTCUSD","H1","mtf-trend","9659fccb","trades=0 below floor 20 (D3)"
"rsi-divergence/BTCUSD/H1",,"BTCUSD","H1","rsi-divergence","9659fccb","trades=0 below floor 20 (D3)"
"session-breakout/BTCUSD/H1",,"BTCUSD","H1","session-breakout","9659fccb","trades=1 below floor 20 (D3)"
"super-trend/BTCUSD/H1",,"BTCUSD","H1","super-trend","9659fccb","trades=1 below floor 20 (D3)"
"trend-breakout/BTCUSD/H1",,"BTCUSD","H1","trend-breakout","9659fccb","trades=3 below floor 20 (D3)"
"bb-squeeze/ETHUSD/H1",,"ETHUSD","H1","bb-squeeze","1ad39c21","trades=8 below floor 20 (D3)"
"ema-alignment/ETHUSD/H1",,"ETHUSD","H1","ema-alignment","1ad39c21","trades=0 below floor 20 (D3)"
"macd-momentum/ETHUSD/H1",,"ETHUSD","H1","macd-momentum","1ad39c21","trades=1 below floor 20 (D3)"
"mean-reversion/ETHUSD/H1",,"ETHUSD","H1","mean-reversion","1ad39c21","trades=0 below floor 20 (D3)"
"mtf-trend/ETHUSD/H1",,"ETHUSD","H1","mtf-trend","1ad39c21","trades=1 below floor 20 (D3)"
"rsi-divergence/ETHUSD/H1",,"ETHUSD","H1","rsi-divergence","1ad39c21","trades=2 below floor 20 (D3)"
"session-breakout/ETHUSD/H1",,"ETHUSD","H1","session-breakout","1ad39c21","trades=5 below floor 20 (D3)"
"super-trend/ETHUSD/H1",,"ETHUSD","H1","super-trend","1ad39c21","trades=2 below floor 20 (D3)"
"trend-breakout/ETHUSD/H1",,"ETHUSD","H1","trend-breakout","1ad39c21","trades=12 below floor 20 (D3)"
"bb-squeeze/EURUSD/H4",,"EURUSD","H4","bb-squeeze","a8e44c68","trades=7 below floor 20 (D3)"
"ema-alignment/EURUSD/H4",,"EURUSD","H4","ema-alignment","a8e44c68","trades=0 below floor 20 (D3)"
"macd-momentum/EURUSD/H4",,"EURUSD","H4","macd-momentum","a8e44c68","trades=0 below floor 20 (D3)"
"mean-reversion/EURUSD/H4",,"EURUSD","H4","mean-reversion","a8e44c68","trades=0 below floor 20 (D3)"
"mtf-trend/EURUSD/H4",,"EURUSD","H4","mtf-trend","a8e44c68","trades=0 below floor 20 (D3)"
"rsi-divergence/EURUSD/H4",,"EURUSD","H4","rsi-divergence","a8e44c68","trades=0 below floor 20 (D3)"
"session-breakout/EURUSD/H4",,"EURUSD","H4","session-breakout","a8e44c68","trades=0 below floor 20 (D3)"
"super-trend/EURUSD/H4",,"EURUSD","H4","super-trend","a8e44c68","trades=3 below floor 20 (D3)"
"trend-breakout/EURUSD/H4",,"EURUSD","H4","trend-breakout","a8e44c68","trades=5 below floor 20 (D3)"
"bb-squeeze/GBPUSD/H4",,"GBPUSD","H4","bb-squeeze","44bfd547","trades=6 below floor 20 (D3)"
"ema-alignment/GBPUSD/H4",,"GBPUSD","H4","ema-alignment","44bfd547","trades=2 below floor 20 (D3)"
"macd-momentum/GBPUSD/H4",,"GBPUSD","H4","macd-momentum","44bfd547","trades=0 below floor 20 (D3)"
"mean-reversion/GBPUSD/H4",,"GBPUSD","H4","mean-reversion","44bfd547","trades=0 below floor 20 (D3)"
"mtf-trend/GBPUSD/H4",,"GBPUSD","H4","mtf-trend","44bfd547","trades=0 below floor 20 (D3)"
"rsi-divergence/GBPUSD/H4",,"GBPUSD","H4","rsi-divergence","44bfd547","trades=2 below floor 20 (D3)"
"session-breakout/GBPUSD/H4",,"GBPUSD","H4","session-breakout","44bfd547","trades=0 below floor 20 (D3)"
"super-trend/GBPUSD/H4",,"GBPUSD","H4","super-trend","44bfd547","trades=5 below floor 20 (D3)"
"trend-breakout/GBPUSD/H4",,"GBPUSD","H4","trend-breakout","44bfd547","trades=13 below floor 20 (D3)"
"bb-squeeze/USDJPY/H4",,"USDJPY","H4","bb-squeeze","8435d886","trades=5 below floor 20 (D3)"
"ema-alignment/USDJPY/H4",,"USDJPY","H4","ema-alignment","8435d886","trades=3 below floor 20 (D3)"
"macd-momentum/USDJPY/H4",,"USDJPY","H4","macd-momentum","8435d886","trades=0 below floor 20 (D3)"
"mean-reversion/USDJPY/H4",,"USDJPY","H4","mean-reversion","8435d886","trades=0 below floor 20 (D3)"
"mtf-trend/USDJPY/H4",,"USDJPY","H4","mtf-trend","8435d886","trades=0 below floor 20 (D3)"
"rsi-divergence/USDJPY/H4",,"USDJPY","H4","rsi-divergence","8435d886","trades=0 below floor 20 (D3)"
"session-breakout/USDJPY/H4",,"USDJPY","H4","session-breakout","8435d886","trades=0 below floor 20 (D3)"
"super-trend/USDJPY/H4",,"USDJPY","H4","super-trend","8435d886","trades=4 below floor 20 (D3)"
"trend-breakout/USDJPY/H4",,"USDJPY","H4","trend-breakout","8435d886","trades=12 below floor 20 (D3)"
"bb-squeeze/USDCHF/H4",,"USDCHF","H4","bb-squeeze","baeae8ab","trades=6 below floor 20 (D3)"
"ema-alignment/USDCHF/H4",,"USDCHF","H4","ema-alignment","baeae8ab","trades=1 below floor 20 (D3)"
"macd-momentum/USDCHF/H4",,"USDCHF","H4","macd-momentum","baeae8ab","trades=2 below floor 20 (D3)"
"mean-reversion/USDCHF/H4",,"USDCHF","H4","mean-reversion","baeae8ab","trades=0 below floor 20 (D3)"
"mtf-trend/USDCHF/H4",,"USDCHF","H4","mtf-trend","baeae8ab","trades=1 below floor 20 (D3)"
"rsi-divergence/USDCHF/H4",,"USDCHF","H4","rsi-divergence","baeae8ab","trades=1 below floor 20 (D3)"
"session-breakout/USDCHF/H4",,"USDCHF","H4","session-breakout","baeae8ab","trades=0 below floor 20 (D3)"
"super-trend/USDCHF/H4",,"USDCHF","H4","super-trend","baeae8ab","trades=4 below floor 20 (D3)"
"trend-breakout/USDCHF/H4",,"USDCHF","H4","trend-breakout","baeae8ab","trades=11 below floor 20 (D3)"
"bb-squeeze/AUDUSD/H4",,"AUDUSD","H4","bb-squeeze","57dac99e","trades=7 below floor 20 (D3)"
"ema-alignment/AUDUSD/H4",,"AUDUSD","H4","ema-alignment","57dac99e","trades=1 below floor 20 (D3)"
"macd-momentum/AUDUSD/H4",,"AUDUSD","H4","macd-momentum","57dac99e","trades=0 below floor 20 (D3)"
"mean-reversion/AUDUSD/H4",,"AUDUSD","H4","mean-reversion","57dac99e","trades=0 below floor 20 (D3)"
"mtf-trend/AUDUSD/H4",,"AUDUSD","H4","mtf-trend","57dac99e","trades=0 below floor 20 (D3)"
"rsi-divergence/AUDUSD/H4",,"AUDUSD","H4","rsi-divergence","57dac99e","trades=0 below floor 20 (D3)"
"session-breakout/AUDUSD/H4",,"AUDUSD","H4","session-breakout","57dac99e","trades=0 below floor 20 (D3)"
"super-trend/AUDUSD/H4",,"AUDUSD","H4","super-trend","57dac99e","trades=1 below floor 20 (D3)"
"trend-breakout/AUDUSD/H4",,"AUDUSD","H4","trend-breakout","57dac99e","trades=8 below floor 20 (D3)"
"bb-squeeze/USDCAD/H4","73.2","USDCAD","H4","bb-squeeze","efb77acf",
"ema-alignment/USDCAD/H4",,"USDCAD","H4","ema-alignment","efb77acf","trades=2 below floor 20 (D3)"
"macd-momentum/USDCAD/H4",,"USDCAD","H4","macd-momentum","efb77acf","trades=5 below floor 20 (D3)"
"mean-reversion/USDCAD/H4",,"USDCAD","H4","mean-reversion","efb77acf","trades=0 below floor 20 (D3)"
"mtf-trend/USDCAD/H4",,"USDCAD","H4","mtf-trend","efb77acf","trades=7 below floor 20 (D3)"
"rsi-divergence/USDCAD/H4",,"USDCAD","H4","rsi-divergence","efb77acf","trades=11 below floor 20 (D3)"
"session-breakout/USDCAD/H4",,"USDCAD","H4","session-breakout","efb77acf","trades=0 below floor 20 (D3)"
"super-trend/USDCAD/H4",,"USDCAD","H4","super-trend","efb77acf","trades=8 below floor 20 (D3)"
"trend-breakout/USDCAD/H4","74.7","USDCAD","H4","trend-breakout","efb77acf",
"bb-squeeze/NZDUSD/H4",,"NZDUSD","H4","bb-squeeze","141730d2","trades=6 below floor 20 (D3)"
"ema-alignment/NZDUSD/H4",,"NZDUSD","H4","ema-alignment","141730d2","trades=1 below floor 20 (D3)"
"macd-momentum/NZDUSD/H4",,"NZDUSD","H4","macd-momentum","141730d2","trades=0 below floor 20 (D3)"
"mean-reversion/NZDUSD/H4",,"NZDUSD","H4","mean-reversion","141730d2","trades=0 below floor 20 (D3)"
"mtf-trend/NZDUSD/H4",,"NZDUSD","H4","mtf-trend","141730d2","trades=0 below floor 20 (D3)"
"rsi-divergence/NZDUSD/H4",,"NZDUSD","H4","rsi-divergence","141730d2","trades=2 below floor 20 (D3)"
"session-breakout/NZDUSD/H4",,"NZDUSD","H4","session-breakout","141730d2","trades=0 below floor 20 (D3)"
"super-trend/NZDUSD/H4",,"NZDUSD","H4","super-trend","141730d2","trades=0 below floor 20 (D3)"
"trend-breakout/NZDUSD/H4",,"NZDUSD","H4","trend-breakout","141730d2","trades=8 below floor 20 (D3)"
"bb-squeeze/EURGBP/H4",,"EURGBP","H4","bb-squeeze","b42885e9","trades=2 below floor 20 (D3)"
"ema-alignment/EURGBP/H4",,"EURGBP","H4","ema-alignment","b42885e9","trades=0 below floor 20 (D3)"
"macd-momentum/EURGBP/H4",,"EURGBP","H4","macd-momentum","b42885e9","trades=0 below floor 20 (D3)"
"mean-reversion/EURGBP/H4",,"EURGBP","H4","mean-reversion","b42885e9","trades=0 below floor 20 (D3)"
"mtf-trend/EURGBP/H4",,"EURGBP","H4","mtf-trend","b42885e9","trades=0 below floor 20 (D3)"
"rsi-divergence/EURGBP/H4",,"EURGBP","H4","rsi-divergence","b42885e9","trades=0 below floor 20 (D3)"
"session-breakout/EURGBP/H4",,"EURGBP","H4","session-breakout","b42885e9","trades=0 below floor 20 (D3)"
"super-trend/EURGBP/H4",,"EURGBP","H4","super-trend","b42885e9","trades=1 below floor 20 (D3)"
"trend-breakout/EURGBP/H4",,"EURGBP","H4","trend-breakout","b42885e9","trades=2 below floor 20 (D3)"
"bb-squeeze/EURJPY/H4",,"EURJPY","H4","bb-squeeze","be25c137","trades=5 below floor 20 (D3)"
"ema-alignment/EURJPY/H4",,"EURJPY","H4","ema-alignment","be25c137","trades=1 below floor 20 (D3)"
"macd-momentum/EURJPY/H4",,"EURJPY","H4","macd-momentum","be25c137","trades=0 below floor 20 (D3)"
"mean-reversion/EURJPY/H4",,"EURJPY","H4","mean-reversion","be25c137","trades=0 below floor 20 (D3)"
"mtf-trend/EURJPY/H4",,"EURJPY","H4","mtf-trend","be25c137","trades=0 below floor 20 (D3)"
"rsi-divergence/EURJPY/H4",,"EURJPY","H4","rsi-divergence","be25c137","trades=2 below floor 20 (D3)"
"session-breakout/EURJPY/H4",,"EURJPY","H4","session-breakout","be25c137","trades=0 below floor 20 (D3)"
"super-trend/EURJPY/H4",,"EURJPY","H4","super-trend","be25c137","trades=3 below floor 20 (D3)"
"trend-breakout/EURJPY/H4",,"EURJPY","H4","trend-breakout","be25c137","trades=9 below floor 20 (D3)"
"bb-squeeze/GBPJPY/H4",,"GBPJPY","H4","bb-squeeze","86fe78d9","trades=4 below floor 20 (D3)"
"ema-alignment/GBPJPY/H4",,"GBPJPY","H4","ema-alignment","86fe78d9","trades=3 below floor 20 (D3)"
"macd-momentum/GBPJPY/H4",,"GBPJPY","H4","macd-momentum","86fe78d9","trades=0 below floor 20 (D3)"
"mean-reversion/GBPJPY/H4",,"GBPJPY","H4","mean-reversion","86fe78d9","trades=0 below floor 20 (D3)"
"mtf-trend/GBPJPY/H4",,"GBPJPY","H4","mtf-trend","86fe78d9","trades=0 below floor 20 (D3)"
"rsi-divergence/GBPJPY/H4",,"GBPJPY","H4","rsi-divergence","86fe78d9","trades=2 below floor 20 (D3)"
"session-breakout/GBPJPY/H4",,"GBPJPY","H4","session-breakout","86fe78d9","trades=0 below floor 20 (D3)"
"super-trend/GBPJPY/H4",,"GBPJPY","H4","super-trend","86fe78d9","trades=0 below floor 20 (D3)"
"trend-breakout/GBPJPY/H4",,"GBPJPY","H4","trend-breakout","86fe78d9","trades=9 below floor 20 (D3)"
"bb-squeeze/XAUUSD/H4",,"XAUUSD","H4","bb-squeeze","b0a3dcdd","trades=14 below floor 20 (D3)"
"ema-alignment/XAUUSD/H4",,"XAUUSD","H4","ema-alignment","b0a3dcdd","trades=5 below floor 20 (D3)"
"macd-momentum/XAUUSD/H4",,"XAUUSD","H4","macd-momentum","b0a3dcdd","trades=2 below floor 20 (D3)"
"mean-reversion/XAUUSD/H4",,"XAUUSD","H4","mean-reversion","b0a3dcdd","trades=3 below floor 20 (D3)"
"mtf-trend/XAUUSD/H4",,"XAUUSD","H4","mtf-trend","b0a3dcdd","trades=5 below floor 20 (D3)"
"rsi-divergence/XAUUSD/H4",,"XAUUSD","H4","rsi-divergence","b0a3dcdd","trades=0 below floor 20 (D3)"
"session-breakout/XAUUSD/H4",,"XAUUSD","H4","session-breakout","b0a3dcdd","trades=0 below floor 20 (D3)"
"super-trend/XAUUSD/H4",,"XAUUSD","H4","super-trend","b0a3dcdd","trades=5 below floor 20 (D3)"
"trend-breakout/XAUUSD/H4","100","XAUUSD","H4","trend-breakout","b0a3dcdd",
"bb-squeeze/XAGUSD/H4",,"XAGUSD","H4","bb-squeeze","e22bf46c","trades=5 below floor 20 (D3)"
"ema-alignment/XAGUSD/H4",,"XAGUSD","H4","ema-alignment","e22bf46c","trades=1 below floor 20 (D3)"
"macd-momentum/XAGUSD/H4",,"XAGUSD","H4","macd-momentum","e22bf46c","trades=0 below floor 20 (D3)"
"mean-reversion/XAGUSD/H4",,"XAGUSD","H4","mean-reversion","e22bf46c","trades=0 below floor 20 (D3)"
"mtf-trend/XAGUSD/H4",,"XAGUSD","H4","mtf-trend","e22bf46c","trades=0 below floor 20 (D3)"
"rsi-divergence/XAGUSD/H4",,"XAGUSD","H4","rsi-divergence","e22bf46c","trades=2 below floor 20 (D3)"
"session-breakout/XAGUSD/H4",,"XAGUSD","H4","session-breakout","e22bf46c","trades=0 below floor 20 (D3)"
"super-trend/XAGUSD/H4",,"XAGUSD","H4","super-trend","e22bf46c","trades=3 below floor 20 (D3)"
"trend-breakout/XAGUSD/H4",,"XAGUSD","H4","trend-breakout","e22bf46c","trades=6 below floor 20 (D3)"
"bb-squeeze/BTCUSD/H4",,"BTCUSD","H4","bb-squeeze","c3d582c2","trades=3 below floor 20 (D3)"
"ema-alignment/BTCUSD/H4",,"BTCUSD","H4","ema-alignment","c3d582c2","trades=0 below floor 20 (D3)"
